order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
9,10,Cancelled,Female,2021-12-12 05:47:00,,,,1
37,31,Cancelled,Female,2021-01-15 06:22:00,,,,2
44,37,Cancelled,Female,2023-12-07 04:25:00,,,,1
56,47,Cancelled,Female,2024-04-20 13:21:00,,,,2
65,51,Cancelled,Female,2022-08-08 04:57:00,,,,1
68,58,Cancelled,Female,2023-04-06 11:25:00,,,,1
79,66,Cancelled,Female,2024-01-30 16:58:00,,,,2
80,66,Cancelled,Female,2024-03-03 16:58:00,,,,1
104,85,Cancelled,Female,2024-03-02 07:15:00,,,,2
105,86,Cancelled,Female,2021-06-11 09:13:00,,,,3
140,113,Cancelled,Female,2023-04-11 08:43:00,,,,2
142,114,Cancelled,Female,2024-06-14 16:46:00,,,,2
173,138,Cancelled,Female,2022-08-04 17:31:00,,,,1
184,150,Cancelled,Female,2021-09-29 14:47:00,,,,1
193,156,Cancelled,Female,2024-01-31 07:02:00,,,,2
242,193,Cancelled,Female,2023-05-09 13:54:00,,,,1
248,195,Cancelled,Female,2021-05-15 07:55:00,,,,2
273,217,Cancelled,Female,2022-12-16 01:31:00,,,,1
274,217,Cancelled,Female,2023-01-21 01:31:00,,,,1
285,228,Cancelled,Female,2022-09-11 13:05:00,,,,1
291,232,Cancelled,Female,2022-10-14 15:49:00,,,,1
297,235,Cancelled,Female,2024-07-07 14:59:00,,,,2
307,245,Cancelled,Female,2024-03-31 01:43:00,,,,4
312,246,Cancelled,Female,2022-02-18 02:01:00,,,,1
314,247,Cancelled,Female,2024-01-29 00:40:00,,,,1
315,247,Cancelled,Female,2024-08-21 00:40:00,,,,2
338,262,Cancelled,Female,2024-07-03 12:57:00,,,,1
349,275,Cancelled,Female,2023-03-13 02:53:00,,,,1
350,275,Cancelled,Female,2023-05-16 02:53:00,,,,2
351,276,Cancelled,Female,2022-02-25 09:10:00,,,,1
366,288,Cancelled,Female,2024-08-05 05:18:00,,,,3
367,288,Cancelled,Female,2024-07-28 05:18:00,,,,1
388,302,Cancelled,Female,2022-08-31 08:14:00,,,,1
418,326,Cancelled,Female,2023-11-11 05:12:00,,,,1
422,327,Cancelled,Female,2023-11-24 02:27:00,,,,1
427,330,Cancelled,Female,2022-07-13 08:17:00,,,,1
431,332,Cancelled,Female,2020-11-20 00:21:00,,,,2
433,332,Cancelled,Female,2022-02-07 00:21:00,,,,2
484,372,Cancelled,Female,2023-10-12 02:03:00,,,,1
503,385,Cancelled,Female,2023-09-30 06:21:00,,,,3
505,387,Cancelled,Female,2022-08-23 18:02:00,,,,1
514,395,Cancelled,Female,2024-05-30 18:33:00,,,,3
549,420,Cancelled,Female,2021-07-11 05:26:00,,,,1
559,427,Cancelled,Female,2022-03-22 14:03:00,,,,1
562,430,Cancelled,Female,2024-08-19 06:58:00,,,,1
570,434,Cancelled,Female,2023-10-16 18:12:00,,,,1
582,443,Cancelled,Female,2023-08-15 13:38:00,,,,2
607,466,Cancelled,Female,2022-12-19 16:38:00,,,,2
608,466,Cancelled,Female,2024-06-02 16:38:00,,,,1
611,468,Cancelled,Female,2024-08-22 15:47:00,,,,3
655,501,Cancelled,Female,2022-12-09 05:26:00,,,,1
668,511,Cancelled,Female,2024-05-01 04:39:00,,,,1
675,515,Cancelled,Female,2023-04-09 07:29:00,,,,2
682,521,Cancelled,Female,2023-07-08 02:08:00,,,,1
690,527,Cancelled,Female,2020-02-01 03:28:00,,,,1
695,532,Cancelled,Female,2024-09-01 07:24:58,,,,2
697,535,Cancelled,Female,2024-08-31 05:37:00,,,,1
698,535,Cancelled,Female,2022-05-27 05:37:00,,,,2
699,536,Cancelled,Female,2023-12-26 05:42:00,,,,1
714,547,Cancelled,Female,2024-02-06 02:41:00,,,,1
722,552,Cancelled,Female,2024-02-25 15:17:00,,,,4
